id,pi_sog,pi_stw,true_wind_dir,true_wind_speed,relative_wind_speed,relative_wind_direction,caa,corrected_power,rw,ref_speed,imo,vessel,id_vessel,gid,voyage,corrected_date,report_date_time,report_date_time_offset,report_type,status,lat,long,latitude,longitude,me_foc,cargo_total,total_steaming_time,me_fuel_only_steaming_time,miles_by_gps,oil_cyl,speed_by_log,speed_by_gps,rpm,slip,wind_direction,wind_speed,draft_aft,draft_fwd,displacement,course_at_sea,wave_height,sea_direction,cargo_total_teu,ambient_temp,sw_temp,miles_by_speed_log,eta_port_code,eta_date_time,eta_date_time_offset,eta_port,time_change,time_sea,temp_min,temp_max,requested_speed,rem_dist_to_pilot,rem_time_to_pilot,total_unplnd_stpge_tech,total_unplnd_stpge_ope_wx,reefers_positive_plugged,reefers_negative_plugged,me_total_revs_counter,port_code,port,aux_blowers_on,hold_ventilation_on,since_date_time,since_date_time_offset,time_hrs_anchor,time_hrs_drift,reason,type_of_delay,etb_date_time,etb_date_time_offset,pilot_date_time,pilot_date_time_offset,time_manoeuvring,tug_arr,tug_shift,etd_date_time,etd_date_time_offset,shift_berth_hours,cargo_load,cargo_disch,teu_full,teu_empty,bilge_removed,garbage_removed,garbage_remvl_reqstd,garbage_remvl_cmplsry,fw_supply,cy_crew_signed_on,cy_crew_signed_off,cy_doctors_visit,cy_mail_received_ref_no,cy_lub_oil_sample_landed,cy_checkd_for_stowaways,cy_stowaways_on_board,cy_dep_gm_mtr,cy_requisitions_received,distance_to_next_pilot,tug_sailing_transit,steaming_time_me_rsdl_vls,steaming_time_me_rsdl_hs,steaming_time_me_rsdl_uls,steaming_time_me_dstlt_vls,steaming_time_me_dstlt_uls,steaming_time_me_tnktnr_dstlt_vls,steaming_time_me_mdo,steaming_time_aux_1,steaming_time_aux_2,steaming_time_aux_3,steaming_time_aux_4,steaming_time_aux_5,steaming_time_sh_gen,steaming_time_tg,fuel_me_rsdl_vls,fuel_me_rsdl_hs,fuel_me_rsdl_uls,fuel_me_dstlt_vls,fuel_me_dstlt_uls,fuel_me_mdo,fuel_me_tnktnr_dstlt_vls,fuel_aux_rsdl_vls,fuel_aux_rsdl_hs,fuel_aux_rsdl_uls,fuel_aux_dstlt_vls,fuel_aux_dstlt_uls,fuel_aux_tnktnr_dstlt_vls,fuel_aux_mdo,fuel_boiler_rsdl_vls,fuel_boiler_rsdl_hs,fuel_boiler_rsdl_uls,fuel_boiler_dstlt_vls,fuel_boiler_dstlt_uls,fuel_boiler_tnktnr_dstlt_vls,fuel_boiler_mdo,power_kw,steaming_load_kw_aux_1,steaming_load_kw_aux_2,steaming_load_kw_aux_3,steaming_load_kw_aux_4,steaming_load_kw_aux_5,steaming_load_kw_sh_gen,steaming_load_kw_tg,deck_last_change_user,engine_last_change_user,deck_part_is_complete,engine_part_is_complete,scavenge_pressure,seca_entry_time,seca_entry_lat,seca_entry_long,seca_exit_time,seca_exit_lat,seca_exit_long,rob_fresh_water,manvrng_miles_by_gps,manvrng_miles_by_speed_log,tanktainer_transfd_quantity,pilot_taken,date_time_start_transit,date_time_start_transit_offset,date_time_end_transit,date_time_end_transit_offset,ballast,tanktainer_number,steaming_kwhr_total,cy_others,rob_fo_sludge,rob_lo_sludge,rob_bilge,sludge_removed_fo,sludge_removed_lo,sea_state,cy_lub_added_to_system_me_cc,cy_lub_added_to_system_ae_cc,cy_lub_added_to_thrusters,cy_me_lo_purifier_in_use,cy_ballast,cy_bending_moment,cy_shearing_force,cy_tortion_moment,cy_supdt_auditor_signed_on,cy_supdt_auditor_signed_off,cy_cash_received,cy_lub_oil_received_me_cyl,cy_lub_oil_received_me_cc,cy_lub_oil_received_ae_cc,cy_me_under_piston_temp,cy_mail_received,wind_direction_port_stbd,sea_direction_port_stbd,time_pilot_onboard,grades_rob,so_2_co_2_ratio,bunker_order,remarks,bdn_number,fuel_type,carbon_factor,sulphur_content_pc,quantity,port_delivery,product_quality,tanktainer_number_1,supplier,delivery,volume_lt,density,viscosity,rob_dstlt_uls,rob_dstlt_vls,rob_rsdl_mdo,rob_tnktnr_dstlt_vls,rob_rsdl_vls,rob_rsdl_hs,rob_rsdl_uls,has_cargo,steaming_time_me_hs,steaming_time_me_ls,steaming_time_me_mgo,steaming_time_me_mgo_ls,fuel_me_hs,fuel_me_ls,fuel_me_mgo,fuel_me_mgo_ls,fuel_aux_hs,fuel_aux_ls,fuel_aux_mgo,fuel_aux_mgo_ls,fuel_boiler_hs,fuel_boiler_ls,fuel_boiler_mgo,fuel_boiler_mgo_ls,rob_fuel_hs_fo,rob_fuel_ls_fo,rob_fuel_mdo,rob_fuel_mgo,rob_fuel_mgo_ls,rob_fuel_tanktainer_mgo,eca_miles,eca_time,egcs_dry_waste_removed,egcs_running_time,egcs_wet_slurry_removed,egcs_open_loop_running_time,egcs_closed_loop_running_time,voyage_order,voyage_code,eca,eu,sea_time,eta_country_code,port_country_code,check_eta_code,check_port_code,status_temp_eu,fuel_hs,fuel_ls,fuel_mdo,fuel_mgo,fuel_mgo_ls,cargo_transport_work,teu_transport_work,eeoi_voyage_no,cargo_total_old,draft,fo_per_24_hrs,sfoc,cy_oil_gm_hr,scoc,voyage_name,total_fo,total_co_2,eeoi,voy_condition,same_date,time_since_last_report,wind_direction_360,ref_power,ref_fuel,fuel_loss,draft_pow,draft_sp_pow,fo_nor,fo_model,sfoc_model,sfoc_deviation,ref_power_corrected,ref_fo_corrected,propulsive_eff,speed_performance,pi,me_con,ae_con,bl_con,t_con,hs,ls,mdo,mgo,mgo_ls,t_co_2,ae_t_steaming,ae_power,trim,distance_covered,updated_date,hyd_slip_sog,hyd_slip_stw,fuel_rsdl_hs,fuel_rsdl_vls,fuel_rsdl_uls,fuel_dstlt_vls,fuel_dstlt_uls,fuel_tnktnr_dstlt_vls,rsdl_hs,rsdl_vls,rsdl_uls,dstlt_vls,dstlt_uls,tnktnr_dstlt_vls,fuel_m_e_lng,fuel_aux_lng,fuel_boiler_lng,rob_rsdl_lng,sulphur_content_pc_main,quantity_main,port_delivery_main,product_quality_main,delivery_main,bdn_number_main,fo_nor_sog,fo_nor_stw,created_at,updated_at,created_by_id,updated_by_id,rob_lng,sludge_rob,garbage_cat_a_plastic_removed,garbage_cat_b_organic_removed,garbage_cat_c_domestic_removed,garbage_cat_e_ashes_removed,rob_garbage_cat_a_plastic,rob_garbage_cat_b_organic,rob_garbage_cat_c_domestic,rob_garbage_cat_e_ashes,qty_sludge_disposed,steaming_time_m_e_lng,reefer_power_consumption,wind_direction_side,sea_direction_side,tot_sludge_removed
6916731,,,,,,,,,,,9235581,MSC ADITI,ADIT,5487711,,2024-06-09 05:00:00,2024-06-09 12:00:00,UTC+07:00,Noon,AT SEA,1111N,10935E,11.183333333333334,109.58333333333331,16.81,15456.0,24.0,24.0,298.0,,11.79,12.42,52.0,0.0,284.0,13.0,9.3,8.8,33976.0,9.0,1.0,284.0,1429.0,29.0,31.0,283.0,VNHPH,2024-06-11 16:00:00,,HAIPHONG,0.0,24.0,,,12.1,,,,,8.0,10.0,24259100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,21.0,,24.0,3.5,,,,,16.81,,,,,,,6.7,,,,,,,,,,,,,3035.0,580.0,,580.0,450.0,,,,,,,,0.14,,,,,,,155.0,,,,,,,,,3463.0,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,245.87,492.57,1411.74,,,,0.0,0.0,,16.81,0.0,0.0,0.0,6.7,0.0,0.0,,,0.0,0.0,,1411.74,492.57,,,,245.87,0.0,0.0,,24.0,,24.0,0.0,972.0,MEBAR-ITGIT,N,Y,,IT,ME,,,,,0.0,,0.0,,4605888.0,425842.0,972.0,,9.05,16.81,230.77979132344865,,,,,73.21014,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,73.21014,,,0.5,298.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,76P,76P,
6916732,,,,,,,,,,,9235581,MSC ADITI,ADIT,5489486,,2024-06-10 05:00:00,2024-06-10 12:00:00,UTC+07:00,Noon,AT SEA,1552N,10859E,15.866666666666667,108.98333333333332,17.48,15456.0,24.0,24.0,288.0,,11.88,12.0,50.3,0.2,26.0,5.0,9.3,8.8,33976.0,337.0,0.8,26.0,1429.0,31.0,31.0,285.0,VNHPH,2024-06-11 16:00:00,,HAIPHONG,0.0,24.0,,,11.5,,,,,8.0,10.0,24331600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,24.0,,24.0,,,,,,17.48,,,,,,,6.8,,,,,,,,,,,,,3152.0,580.0,,580.0,,,,,,,,,0.18,,,,,,,148.0,,,,,,,,,3463.0,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,245.87,492.57,1387.46,,,,0.0,0.0,,17.48,0.0,0.0,0.0,6.8,0.0,0.0,,,0.0,0.0,,1387.46,492.57,,,,245.87,0.0,0.0,,24.0,,24.0,0.0,972.0,MEBAR-ITGIT,N,Y,,IT,ME,,,,,0.0,,0.0,,4451328.0,411552.0,972.0,,9.05,17.48,231.07021996615904,,,,,75.60792000000001,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.60792000000001,,,0.5,288.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,26S,26S,
6916733,,,,,,,,,,,9235581,MSC ADITI,ADIT,5491557,,2024-06-11 05:00:00,2024-06-11 12:00:00,UTC+07:00,Noon,AT SEA,1928N,10705E,19.466666666666665,107.08333333333331,11.9,15456.0,24.0,24.0,246.0,,10.13,10.25,43.04,0.3,231.0,5.0,9.3,8.8,33976.0,345.0,1.0,231.0,1429.0,30.0,31.0,243.0,VNHPH,2024-06-11 19:00:00,,HAIPHONG,0.0,24.0,,,10.1,,,,,8.0,10.0,24393580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,24.0,,24.0,,,,,,11.9,,,,,,,6.9,,,,,,,2.3,,,,,,2040.5,580.0,,580.0,,,,,,,,,0.1,,,,,,,141.0,,,,,,,,,3463.0,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,245.87,492.57,1366.36,,,,0.0,0.0,,11.9,0.0,0.0,0.0,6.9,0.0,0.0,,2.3,0.0,0.0,,1366.36,492.57,,,,245.87,0.0,0.0,,24.0,,24.0,0.0,972.0,MEBAR-ITGIT,N,Y,,IT,ME,,,,21.1,0.0,,0.0,,3802176.0,351534.0,972.0,,9.05,11.9,242.99599771297883,,,,,65.7054,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,65.7054,,,0.5,246.0,,,,21.1,,,,,,21.1,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,129P,129P,
6916738,,,,,,,,,,,9235581,MSC ADITI,ADIT,5495780,,2024-06-12 14:00:00,2024-06-12 21:00:00,UTC+07:00,COSP,DRIFTING,2037N,10655E,20.616666666666667,106.91666666666669,2.36,13430.0,2.7,2.7,,24.0,,,,,28.0,29.0,8.8,8.7,31753.0,126.0,1.5,28.0,1429.0,,,,CNYTN,2024-06-14 10:00:00,,YANTIAN,,,,,13.9,,,,,14.0,6.0,24424600.0,VNHPH,HAIPHONG,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.7,2.5,,,,,2.36,,,,,,,0.84,,,,,,,0.3,,,,,,,550.0,,540.0,540.0,,,,,,,,0.51,,,,,,,127.0,26.0,25.0,,,,,,,3463.0,0.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,,,,245.87,492.57,1347.79,,,,0.0,0.0,,2.36,0.0,0.0,0.0,0.84,0.0,0.0,,0.3,0.0,0.0,,1347.79,492.57,,,,245.87,,,,2.7,,2.7,0.0,973.0,ITGIT-SIKOP,N,Y,,SI,IT,,,,3.5,0.0,,0.0,,,,973.0,,8.75,20.97777777777777,,,,,,10.898999999999996,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,10.898999999999996,,,0.1,26.0,,,,3.5,,,,,,3.5,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28S,28S,
6916739,,,,,,,,,,,9235581,MSC ADITI,ADIT,5495781,,2024-06-13 05:00:00,2024-06-13 12:00:00,UTC+07:00,Noon,AT SEA,2014N,11030E,20.23333333333333,110.5,18.62,13430.0,15.0,15.0,206.0,,14.13,13.73,57.7,0.4,53.0,15.0,8.8,8.7,31753.0,87.0,1.0,53.0,1560.0,31.0,30.0,212.0,CNYTN,2024-06-14 10:00:00,,YANTIAN,0.0,15.0,,,14.6,,,,,14.0,6.0,24476600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,15.0,,15.0,,,,,,18.62,,,,,,,4.3,,,,,,,0.45,,,,,,5632.0,550.0,,550.0,,,,,,,,,0.12,,,,,,,124.0,,,,,,,,,3463.0,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,245.87,492.57,1324.42,,,,0.0,0.0,,18.62,0.0,0.0,0.0,4.3,0.0,0.0,,0.45,0.0,0.0,,1324.42,492.57,,,,245.87,124.0,9.6,,15.0,,4.17,10.83,973.0,ITGIT-SIKOP,Y,Y,,SI,IT,,,,23.37,0.0,,0.0,,2766580.0,321360.0,973.0,,8.75,29.792,220.40719696969697,,,,,72.77418,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,72.77418,,,0.1,206.0,,,,23.37,,,,,,23.37,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,53S,53S,
6852471,,,,,,,,,,,9235581,MSC ADITI,ADIT,5332196,,2024-04-01 08:00:00,2024-04-01 08:00:00,UTC+00:00,Sludge,,,,,,0.0,23207.0,,,,,,,,,,,,,,,,,1760.0,,,,,2024-01-04 08:00:00,,,,,,,,,,,,,,,CNYTN,YANTIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,N,N,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,24.0 M3,,,,,,,,,,,,,,
6852472,,,,,,,,,,,9235581,MSC ADITI,ADIT,5356851,,2024-04-01 04:00:00,2024-04-01 12:00:00,UTC+08:00,Noon,AT SEA,2228N,11604E,22.466666666666665,116.06666666666666,4.3,23207.0,5.0,5.0,62.0,,12.4,12.4,57.43,9.5,280.0,10.0,10.9,10.3,41920.0,262.0,0.4,280.0,1760.0,25.0,28.0,62.0,HKHKG,2024-04-01 21:30:00,,HONG KONG,0.0,5.0,,,11.8,,,,,0.0,4.0,21621930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,4.3,,,,,,,1.2,,,,,,,0.4,,,,,,3769.0,1015.0,,,,,,,,,,,0.2,,,,,,,198.0,,,,,,,,,4534.0,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,271.9,492.57,1169.53,,,,0.0,0.0,,4.3,0.0,0.0,0.0,1.2,0.0,0.0,,0.4,0.0,0.0,,1169.53,492.57,,,,271.9,24.0,1.9,,5.0,,2.8,2.2,,,Y,N,,,,,,,5.9,0.0,,0.0,,1438834.0,109120.0,,,10.6,20.64,228.17723534093923,,,,,18.3726,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,18.3726,,,0.6,62.0,,,,5.9,,,,,,5.9,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,80P,80P,
6852473,,,,,,,,,,,9235581,MSC ADITI,ADIT,5357988,,2024-04-01 11:24:00,2024-04-01 19:24:00,UTC+08:00,EOSP,AT SEA,2206N,11431E,22.1,114.51666666666668,6.5,23207.0,7.4,7.4,90.0,,12.03,12.16,53.53,4.8,230.0,10.0,10.9,10.3,41920.0,262.0,2.28,202.0,1760.0,25.0,28.0,89.0,,,,,0.0,7.4,,,,,,,,0.0,4.0,21645700.0,HKHKG,HONG KONG,,,,,,,,,2024-04-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.4,0.0,,,,,7.4,,,0.2,,,,,6.5,,,,,,,1.8,,,,,,,0.35,,,,,,3953.0,1015.0,,,540.0,,,,,,,,0.18,,,,,,,196.0,,,,,,,,,4534.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,271.9,492.57,1160.88,,,7.4,0.0,0.0,,6.5,0.0,0.0,0.0,1.8,0.0,0.0,,0.35,0.0,0.0,,1160.88,492.57,,,,271.9,66.0,5.4,,7.4,,0.9,6.5,,,Y,N,,,,,,,8.65,0.0,,0.0,,2088630.0,158400.0,,,10.6,21.08108108108108,222.20550932921284,,,,,26.9361,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,26.9361,,,0.6,90.0,,,,8.65,,,,,,8.65,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,130P,158P,
6852475,,,,,,,,,,,9235581,MSC ADITI,ADIT,5358732,,2024-04-01 22:00:00,2024-04-02 06:00:00,UTC+08:00,Sailing,IN PORT,,,,,0.0,26567.0,,,,,,,,,,,11.4,11.4,45278.0,,,,1760.0,,,,CNSHK,2024-04-02 15:00:00,,SHEKOU,,,,,,,,,,0.0,5.0,0.0,HKHKG,HONG KONG,,,,,,,,,,,,,,,,,,,,,1932.0,2.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,7.2,,0.5,0.7,,,,,,,,,,,,1.5,,,,,,,0.5,,,,,,,395.0,,400.0,405.0,,,,,,,,,,,,,,,192.0,,,,,,,,,4534.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,271.9,492.57,1155.88,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.5,0.0,0.0,,0.5,0.0,0.0,,1155.88,492.57,,,,271.9,,,0.0,7.2,0.0,0.0,7.2,971.0,ITGOA-ITSAL,N,Y,,IT,IT,,,,,0.0,,0.0,,,,970.0,,11.4,,,,,,,6.228,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.228,,,0.0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,,,,,,0.0
6852476,,,,,,,,,,,9235581,MSC ADITI,ADIT,5358751,,2024-04-02 00:42:00,2024-04-02 08:42:00,UTC+08:00,Delay,DRIFTING,2204N,11427E,22.066666666666663,114.45,2.45,26567.0,,,,,,,,,,,11.4,11.4,45278.0,,,,1934.0,25.0,28.0,,,,,,,,,,,,,,,0.0,5.0,0.0,HKHKG,HONG KONG,,,,,0.0,0.0,TO ADJUST ETA,DRIFITNG,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,2.7,,,,,2.45,,,,,,,0.75,,,,,,,0.2,,,,,,,535.0,,,515.0,,,,,,,,,,,,,,,192.0,0.0,0.0,,,,,,,4534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,271.9,492.57,1152.48,,,,0.0,0.0,,2.45,0.0,0.0,0.0,0.75,0.0,0.0,,0.2,0.0,0.0,,1152.48,492.57,,,,271.9,,,,2.7,,0.0,2.7,971.0,ITGOA-ITSAL,N,Y,,IT,IT,,,,3.4000000000000004,0.0,,0.0,,,,971.0,,11.4,,,,,,,10.5876,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,10.5876,,,0.0,0.0,,,,3.4000000000000004,,,,,,3.4,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
6852477,,,,,,,,,,,9235581,MSC ADITI,ADIT,5358755,,2024-04-02 04:00:00,2024-04-02 12:00:00,UTC+08:00,Delay,DRIFTING,0204N,11427E,2.066666666666667,114.45,0.1,26567.0,1.2,1.2,,,,,,,,,11.4,11.4,45278.0,,,,1934.0,29.0,28.0,,,,,,,,,,,,,,,0.0,5.0,0.0,HKHKG,HONG KONG,,,,,0.0,3.3,TO ADJUST ETA,DRIFTING,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,0.1,,,,,,,0.6,,,,,,,0.2,,,,,,,950.0,,,,,,,,,,,,,,,,,,193.0,4.0,4.0,,,,,,,4534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,271.9,492.57,1151.58,,,,0.0,0.0,,0.1,0.0,0.0,0.0,0.6,0.0,0.0,,0.2,0.0,0.0,,1151.58,492.57,,,,271.9,,,,3.3,,0.0,3.3,971.0,ITGOA-ITSAL,N,Y,,IT,IT,,,,0.8999999999999999,0.0,,0.0,,,,971.0,,11.4,2.0,,,,,,2.8025999999999995,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.8025999999999995,,,0.0,4.0,,,,0.8999999999999999,,,,,,0.9,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
6852478,,,,,,,,,,,9235581,MSC ADITI,ADIT,5359111,,2024-04-02 05:30:00,2024-04-02 13:30:00,UTC+08:00,COSP,DRIFTING,2206N,11427E,22.1,114.45,0.08,26567.0,1.5,1.5,,1.0,,,,,180.0,12.0,11.4,11.4,45278.0,295.0,0.81,180.0,1934.0,,,,CNSHK,2024-04-02 21:30:00,,SHEKOU,,,,,11.8,,,,,0.0,5.0,0.0,HKHKG,HONG KONG,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,0.08,,,,,,,0.3,,,,,,,0.1,,,,,,,980.0,,,,,,,,,,,0.24,,,,,,,192.0,1.9,0.7,,,,,,,0.0,0.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,,,,271.9,492.57,1151.1,,,,0.0,0.0,,0.08,0.0,0.0,0.0,0.3,0.0,0.0,,0.1,0.0,0.0,,1151.1,492.57,,,,271.9,,,,1.5,,0.0,1.5,971.0,ITGOA-ITSAL,N,Y,,IT,IT,,,,0.48,0.0,,0.0,,,,971.0,,11.4,1.28,,,,,,1.4947199999999998,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4947199999999998,,,0.0,1.9,,,,0.48,,,,,,0.48,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,180P,180P,
6852479,,,,,,,,,,,9235581,MSC ADITI,ADIT,5359128,,2024-04-02 07:00:00,2024-04-02 15:00:00,UTC+08:00,EOSP,AT SEA,2209N,11414E,22.15,114.23333333333332,0.55,26567.0,1.5,1.5,13.0,,8.4,8.53,41.11,13.0,180.0,14.0,11.4,11.4,45278.0,308.0,0.9,180.0,1934.0,26.0,25.0,13.0,,,,,0.0,1.5,,,,,,,,0.0,5.0,21652300.0,CNSHK,SHEKOU,,,,,,,,,2024-04-02 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5,0.0,,,,,1.5,,,,,,,,0.55,,,,,,,0.3,,,,,,,0.1,,,,,,1688.0,980.0,,,,,,,,,,,0.07,,,,,,,192.0,,,,,,,,,0.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,271.9,492.57,1150.15,,,1.5,0.0,0.0,,0.55,0.0,0.0,0.0,0.3,0.0,0.0,,0.1,0.0,0.0,,1150.15,492.57,,,,271.9,12.8,0.0,,1.5,,0.0,1.5,971.0,ITGOA-ITSAL,Y,Y,,IT,IT,,,,0.95,0.0,,0.0,,345371.0,25142.0,971.0,,11.4,8.8,217.21958925750397,,,,,2.9583,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.9583,,,0.0,13.0,,,,0.95,,,,,,0.95,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,180P,180P,
6852480,,,,,,,,,,,9235581,MSC ADITI,ADIT,5360208,,2024-04-02 10:18:00,2024-04-02 18:18:00,UTC+08:00,Berthing,DRIFTING,,,,,2.6,26567.0,3.3,3.3,,,,,,,,,11.4,11.4,45278.0,,,,1934.0,,,,,,,,,,,,,,,,,0.0,5.0,0.0,CNSHK,SHEKOU,,,,,,,,,,,,,3.3,,,2024-04-03 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,1.7,3.3,,,,,2.6,,,,,,,1.0,,,,,,,0.22,,,,,,,520.0,,515.0,525.0,,,,,,,,,,,,,,,188.0,31.0,35.1,,,,,,,4534.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,271.9,492.57,1146.33,,,,0.0,0.0,,2.6,0.0,0.0,0.0,1.0,0.0,0.0,,0.22,0.0,0.0,,1146.33,492.57,,,,271.9,,,,3.3,,0.0,3.3,971.0,ITGOA-ITSAL,N,Y,,IT,IT,,,,3.82,0.0,,0.0,,,,971.0,,11.4,18.90909090909091,,,,,,11.89548,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,11.89548,,,0.0,31.0,,,,3.82,,,,,,3.82,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
6852481,,,,,,,,,,,9235581,MSC ADITI,ADIT,5362646,,2024-04-02 19:40:00,2024-04-02 19:40:00,UTC+00:00,Survey,,,,,,0.0,26567.0,,,,,,,,,,,,,,,,,1934.0,,,,,,,,,,,,,,,,,,,,,SHEKOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,971.0,ITGOA-ITSAL,N,Y,,IT,IT,,,,,0.0,,0.0,,,,971.0,,,,,,,,,0.0,,Laden,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,21.0,,,,,
